2024-08-01T00:00:00.097000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000378341
2024-08-02T14:00:00.012000+00:00 → rate: 0.00001199, annualized: 10.5003%, premium: -0.0004041061
2024-08-02T15:00:00.144000+00:00 → rate: -0.00003109, annualized: -27.2339%, premium: -0.000748711
2024-08-02T16:00:00.149000+00:00 → rate: -0.00000698, annualized: -6.1139%, premium: -0.0005558341
2024-08-02T17:00:00.126000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002414365
2024-08-02T18:00:00.003000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002107531
2024-08-02T19:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003788625
2024-08-02T20:00:00.120000+00:00 → rate: 0.00001052, annualized: 9.2182%, premium: -0.000415815
2024-08-02T21:00:00.150000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003244776
2024-08-02T22:00:00.079000+00:00 → rate: 0.00001156, annualized: 10.1266%, premium: -0.0004075192
2024-08-02T23:00:00.130000+00:00 → rate: 0.00001234, annualized: 10.8069%, premium: -0.0004013063
2024-08-03T00:00:00.032000+00:00 → rate: 0.00001008, annualized: 8.8281%, premium: -0.0004193785
2024-08-03T01:00:00.093000+00:00 → rate: 0.00001236, annualized: 10.8261%, premium: -0.0004011313
2024-08-03T02:00:00.135000+00:00 → rate: -0.00000237, annualized: -2.0772%, premium: -0.0005189694
2024-08-03T03:00:00.124000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003892442
2024-08-03T04:00:00.030000+00:00 → rate: 0.00001129, annualized: 9.8879%, premium: -0.0004096991
2024-08-03T05:00:00.095000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003481239
2024-08-03T06:00:00.147000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003591276
2024-08-03T07:00:00.139000+00:00 → rate: 0.00000988, annualized: 8.6524%, premium: -0.0004209823
2024-08-03T08:00:00.093000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001454324
2024-08-03T09:00:00.094000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003153128
2024-08-03T10:00:00.099000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000369758
2024-08-03T11:00:00.115000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003286387
2024-08-03T12:00:00.044000+00:00 → rate: 0.00001087, annualized: 9.5263%, premium: -0.0004130012
2024-08-03T13:00:00.141000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003859465
2024-08-03T14:00:00.124000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003298148
2024-08-03T15:00:00.154000+00:00 → rate: 0.00001206, annualized: 10.5657%, premium: -0.0004035093
2024-08-03T16:00:00.008000+00:00 → rate: 0.00001232, annualized: 10.7912%, premium: -0.0004014508
2024-08-03T17:00:00.121000+00:00 → rate: 0.00001200, annualized: 10.5159%, premium: -0.0004039652
2024-08-03T18:00:00.078000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002827912
2024-08-03T19:00:00.179000+00:00 → rate: 0.00001101, annualized: 9.6467%, premium: -0.0004119028
2024-08-03T20:00:00.167000+00:00 → rate: -0.00000175, annualized: -1.5367%, premium: -0.0005140335
2024-08-03T21:00:00.144000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003760103
2024-08-03T22:00:00.032000+00:00 → rate: 0.00000274, annualized: 2.4044%, premium: -0.0004780415
2024-08-03T23:00:00.126000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003933107
2024-08-04T00:00:00.023000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003125542
2024-08-04T01:00:00.120000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002993656
2024-08-04T02:00:00.123000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003387928
2024-08-04T03:00:00.088000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003282432
2024-08-04T04:00:00.122000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003765773
2024-08-04T05:00:00.166000+00:00 → rate: 0.00000210, annualized: 1.8407%, premium: -0.0004831899
2024-08-04T06:00:00.023000+00:00 → rate: 0.00000548, annualized: 4.7991%, premium: -0.000456173
2024-08-04T07:00:00.105000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003621512
2024-08-04T08:00:00.067000+00:00 → rate: 0.00000109, annualized: 0.9506%, premium: -0.0004913187
2024-08-04T09:00:00.126000+00:00 → rate: -0.00000446, annualized: -3.9035%, premium: -0.0005356485
2024-08-04T10:00:00.033000+00:00 → rate: 0.00000943, annualized: 8.2574%, premium: -0.0004245901
2024-08-04T11:00:00.126000+00:00 → rate: 0.00001086, annualized: 9.5173%, premium: -0.0004130838
2024-08-04T12:00:00.126000+00:00 → rate: 0.00000256, annualized: 2.2452%, premium: -0.0004794958
2024-08-04T13:00:00.126000+00:00 → rate: 0.00000713, annualized: 6.2441%, premium: -0.000442976
2024-08-04T14:00:00.033000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003236167
2024-08-04T15:00:00.129000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000400178
2024-08-04T16:00:00.046000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000552501
2024-08-04T17:00:00.119000+00:00 → rate: -0.00000897, annualized: -7.8603%, premium: -0.0005717836
2024-08-04T18:00:00.024000+00:00 → rate: -0.00001385, annualized: -12.1360%, premium: -0.000610831
2024-08-04T19:00:00.002000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003079997
2024-08-04T20:00:00.193000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001867965
2024-08-04T21:00:00.121000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002518382
2024-08-04T22:00:00.137000+00:00 → rate: 0.00000786, annualized: 6.8861%, premium: -0.0004371137
2024-08-04T23:00:00.089000+00:00 → rate: -0.00000000, annualized: -0.0029%, premium: -0.0005000264
2024-08-05T00:00:00.097000+00:00 → rate: -0.00003050, annualized: -26.7176%, premium: -0.0007439956
2024-08-05T01:00:00.110000+00:00 → rate: -0.00003520, annualized: -30.8361%, premium: -0.0007816083
2024-08-05T02:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003693713
2024-08-05T03:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.00016852
2024-08-05T04:00:00.027000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0004318573
2024-08-05T05:00:00.013000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000793974
2024-08-05T06:00:00.140000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001235381
2024-08-05T07:00:00.166000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001654897
2024-08-05T08:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0003229751
2024-08-05T09:00:00.118000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000340336
2024-08-05T10:00:00.042000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000091455
2024-08-05T11:00:00.154000+00:00 → rate: 0.00000921, annualized: 8.0684%, premium: -0.0004263159
2024-08-05T12:00:00.100000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000351196
2024-08-05T13:00:00.049000+00:00 → rate: 0.00000256, annualized: 2.2421%, premium: -0.0004795241
2024-08-05T14:00:00.151000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002248561
2024-08-05T15:00:00.160000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001796202
2024-08-05T16:00:00.149000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000790398
2024-08-05T17:00:00.064000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001920249
2024-08-05T18:00:00.033000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003316637
2024-08-05T19:00:00.110000+00:00 → rate: -0.00002974, annualized: -26.0527%, premium: -0.0007379241
2024-08-05T20:00:00.175000+00:00 → rate: 0.00000918, annualized: 8.0440%, premium: -0.0004265391
2024-08-05T21:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003022459
2024-08-05T22:00:00.192000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000275956
2024-08-05T23:00:00.031000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.000154842
2024-08-06T00:00:00.125000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00036473
2024-08-06T01:00:00.021000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001146272
2024-08-06T02:00:00.037000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001237409
2024-08-06T03:00:00.039000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001545836
2024-08-06T04:00:00.114000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002931128
2024-08-06T05:00:00.031000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.00019315
2024-08-06T06:00:00.127000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002506693
2024-08-06T07:00:00.166000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001596567
2024-08-06T08:00:00.131000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003542875
2024-08-06T09:00:00.039000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002476901
2024-08-06T10:00:00.041000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002687703
2024-08-06T11:00:00.031000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001538608
2024-08-06T12:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001456622
2024-08-06T13:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001422718
2024-08-06T14:00:00.146000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002209346
2024-08-06T15:00:00.015000+00:00 → rate: 0.00000605, annualized: 5.2998%, premium: -0.0004515996
2024-08-06T16:00:00.079000+00:00 → rate: 0.00000827, annualized: 7.2405%, premium: -0.000433877
2024-08-06T17:00:00.072000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003979936
2024-08-06T18:00:00.082000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003182142
2024-08-06T19:00:00.120000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003210147
2024-08-06T20:00:00.131000+00:00 → rate: 0.00000134, annualized: 1.1696%, premium: -0.0004893188
2024-08-06T21:00:00.104000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002485459
2024-08-06T22:00:00.114000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002688672
2024-08-06T23:00:00.141000+00:00 → rate: 0.00001076, annualized: 9.4221%, premium: -0.0004139539
2024-08-07T00:00:00.149000+00:00 → rate: -0.00008162, annualized: -71.5010%, premium: -0.0011529776
2024-08-07T01:00:00.122000+00:00 → rate: -0.00004926, annualized: -43.1552%, premium: -0.0008941111
2024-08-07T02:00:00.007000+00:00 → rate: -0.00004493, annualized: -39.3597%, premium: -0.0008594493
2024-08-07T03:00:00.146000+00:00 → rate: 0.00000682, annualized: 5.9706%, premium: -0.0004454738
2024-08-07T04:00:00.151000+00:00 → rate: -0.00000701, annualized: -6.1418%, premium: -0.0005560894
2024-08-07T05:00:00.052000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003178661
2024-08-07T06:00:00.154000+00:00 → rate: -0.00000860, annualized: -7.5347%, premium: -0.0005688096
2024-08-07T07:00:00.173000+00:00 → rate: -0.00002680, annualized: -23.4745%, premium: -0.0007143789
2024-08-07T08:00:00.092000+00:00 → rate: -0.00001212, annualized: -10.6169%, premium: -0.0005969577
2024-08-07T09:00:00.092000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002332867
2024-08-07T10:00:00.185000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003471208
2024-08-07T11:00:00.194000+00:00 → rate: -0.00000819, annualized: -7.1784%, premium: -0.000565556
2024-08-07T12:00:00.096000+00:00 → rate: -0.00003888, annualized: -34.0550%, premium: -0.0008110045
2024-08-07T13:00:00.105000+00:00 → rate: -0.00003219, annualized: -28.1963%, premium: -0.0007575006
2024-08-07T14:00:00.131000+00:00 → rate: -0.00002876, annualized: -25.1953%, premium: -0.0007300942
2024-08-07T15:00:00.181000+00:00 → rate: -0.00003676, annualized: -32.2002%, premium: -0.0007940658
2024-08-07T16:00:00.109000+00:00 → rate: -0.00003538, annualized: -30.9903%, premium: -0.0007830156
2024-08-07T17:00:00.101000+00:00 → rate: -0.00001789, annualized: -15.6714%, premium: -0.0006431177
2024-08-07T18:00:00.129000+00:00 → rate: -0.00003237, annualized: -28.3584%, premium: -0.0007589809
2024-08-07T19:00:00.110000+00:00 → rate: -0.00000964, annualized: -8.4489%, premium: -0.0005771591
2024-08-07T20:00:00.209000+00:00 → rate: -0.00002764, annualized: -24.2142%, premium: -0.0007211347
2024-08-07T21:00:00.186000+00:00 → rate: -0.00000149, annualized: -1.3063%, premium: -0.0005119296
2024-08-07T22:00:00.088000+00:00 → rate: 0.00000778, annualized: 6.8182%, premium: -0.0004377334
2024-08-07T23:00:00.138000+00:00 → rate: -0.00005341, annualized: -46.7875%, premium: -0.0009272832
2024-08-08T00:00:00.026000+00:00 → rate: -0.00003095, annualized: -27.1133%, premium: -0.0007476104
2024-08-08T01:00:00.023000+00:00 → rate: -0.00003438, annualized: -30.1197%, premium: -0.0007750658
2024-08-08T02:00:00.068000+00:00 → rate: -0.00000465, annualized: -4.0757%, premium: -0.0005372205
2024-08-08T03:00:00.012000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003674745
2024-08-08T04:00:00.121000+00:00 → rate: -0.00001932, annualized: -16.9217%, premium: -0.0006545362
2024-08-08T05:00:00.100000+00:00 → rate: -0.00002617, annualized: -22.9267%, premium: -0.0007093757
2024-08-08T06:00:00.060000+00:00 → rate: -0.00002613, annualized: -22.8882%, premium: -0.000709025
2024-08-08T07:00:00.095000+00:00 → rate: -0.00002615, annualized: -22.9041%, premium: -0.0007091695
2024-08-08T08:00:00.029000+00:00 → rate: -0.00002414, annualized: -21.1470%, premium: -0.0006931228
2024-08-08T09:00:00.003000+00:00 → rate: -0.00001101, annualized: -9.6457%, premium: -0.0005880891
2024-08-08T10:00:00.166000+00:00 → rate: -0.00000678, annualized: -5.9424%, premium: -0.0005542685
2024-08-08T11:00:00.137000+00:00 → rate: -0.00000730, annualized: -6.3980%, premium: -0.0005584285
2024-08-08T12:00:00.192000+00:00 → rate: 0.00000033, annualized: 0.2859%, premium: -0.0004973891
2024-08-08T13:00:00.106000+00:00 → rate: -0.00001805, annualized: -15.8077%, premium: -0.0006443626
2024-08-08T14:00:00.153000+00:00 → rate: -0.00003735, annualized: -32.7175%, premium: -0.0007987897
2024-08-08T15:00:00.018000+00:00 → rate: -0.00002003, annualized: -17.5463%, premium: -0.0006602402
2024-08-08T16:00:00.107000+00:00 → rate: -0.00003172, annualized: -27.7870%, premium: -0.0007537621
2024-08-08T17:00:00.095000+00:00 → rate: 0.00000740, annualized: 6.4798%, premium: -0.0004408241
2024-08-08T18:00:00.083000+00:00 → rate: -0.00001486, annualized: -13.0153%, premium: -0.0006188608
2024-08-08T19:00:00.170000+00:00 → rate: -0.00002005, annualized: -17.5627%, premium: -0.0006603903
2024-08-08T20:00:00.093000+00:00 → rate: -0.00003914, annualized: -34.2870%, premium: -0.0008131235
2024-08-08T21:00:00.108000+00:00 → rate: -0.00004244, annualized: -37.1750%, premium: -0.0008394973
2024-08-08T22:00:00.163000+00:00 → rate: -0.00000580, annualized: -5.0798%, premium: -0.0005463912
2024-08-08T23:00:00.100000+00:00 → rate: -0.00001113, annualized: -9.7482%, premium: -0.0005890249
2024-08-09T00:00:00.115000+00:00 → rate: -0.00002251, annualized: -19.7175%, premium: -0.0006800686
2024-08-09T01:00:00.158000+00:00 → rate: -0.00002099, annualized: -18.3834%, premium: -0.000667885
2024-08-09T02:00:00.197000+00:00 → rate: -0.00003251, annualized: -28.4771%, premium: -0.0007600646
2024-08-09T03:00:00.156000+00:00 → rate: -0.00003150, annualized: -27.5934%, premium: -0.0007519941
2024-08-09T04:00:00.170000+00:00 → rate: -0.00000525, annualized: -4.5992%, premium: -0.000542002
2024-08-09T05:00:00.001000+00:00 → rate: -0.00001258, annualized: -11.0210%, premium: -0.0006006488
2024-08-09T06:00:00.131000+00:00 → rate: -0.00003350, annualized: -29.3468%, premium: -0.0007680075
2024-08-09T07:00:00.195000+00:00 → rate: -0.00001073, annualized: -9.4026%, premium: -0.000585869
2024-08-09T08:00:00.005000+00:00 → rate: -0.00003356, annualized: -29.4005%, premium: -0.0007684976
2024-08-09T09:00:00.109000+00:00 → rate: -0.00002574, annualized: -22.5461%, premium: -0.0007059005
2024-08-09T10:00:00.108000+00:00 → rate: -0.00001835, annualized: -16.0766%, premium: -0.0006468181
2024-08-09T11:00:00.104000+00:00 → rate: -0.00003087, annualized: -27.0389%, premium: -0.0007469306
2024-08-09T12:00:00.085000+00:00 → rate: -0.00001128, annualized: -9.8815%, premium: -0.0005902417
2024-08-09T13:00:00.100000+00:00 → rate: -0.00001644, annualized: -14.3993%, premium: -0.0006315003
2024-08-09T14:00:00.163000+00:00 → rate: -0.00001789, annualized: -15.6723%, premium: -0.0006431255
2024-08-09T15:00:00.035000+00:00 → rate: -0.00001627, annualized: -14.2541%, premium: -0.0006301747
2024-08-09T16:00:00.043000+00:00 → rate: -0.00002830, annualized: -24.7911%, premium: -0.0007264024
2024-08-09T17:00:00.057000+00:00 → rate: -0.00000049, annualized: -0.4301%, premium: -0.0005039278
2024-08-09T18:00:00.076000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003548957
2024-08-09T19:00:00.079000+00:00 → rate: 0.00000351, annualized: 3.0751%, premium: -0.0004719168
2024-08-09T20:00:00.002000+00:00 → rate: -0.00000030, annualized: -0.2602%, premium: -0.0005023761
2024-08-09T21:00:00.049000+00:00 → rate: -0.00001336, annualized: -11.7033%, premium: -0.0006068791
2024-08-09T22:00:00.059000+00:00 → rate: -0.00003383, annualized: -29.6368%, premium: -0.000770656
2024-08-09T23:00:00.045000+00:00 → rate: -0.00000686, annualized: -6.0121%, premium: -0.000554905
2024-08-10T00:00:00.005000+00:00 → rate: -0.00000734, annualized: -6.4285%, premium: -0.0005587078
2024-08-10T01:00:00.028000+00:00 → rate: 0.00000161, annualized: 1.4113%, premium: -0.0004871116
2024-08-10T02:00:00.005000+00:00 → rate: -0.00000399, annualized: -3.4980%, premium: -0.0005319451
2024-08-10T03:00:00.126000+00:00 → rate: -0.00000832, annualized: -7.2895%, premium: -0.0005665712
2024-08-10T04:00:00.097000+00:00 → rate: 0.00000251, annualized: 2.1987%, premium: -0.0004799206
2024-08-10T05:00:00.035000+00:00 → rate: -0.00000800, annualized: -7.0064%, premium: -0.0005639856
2024-08-10T06:00:00.106000+00:00 → rate: 0.00000053, annualized: 0.4601%, premium: -0.0004957983
2024-08-10T07:00:00.153000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003850544
2024-08-10T08:00:00.071000+00:00 → rate: 0.00000789, annualized: 6.9155%, premium: -0.0004368448
2024-08-10T09:00:00.090000+00:00 → rate: -0.00000742, annualized: -6.5030%, premium: -0.0005593884
2024-08-10T10:00:00.003000+00:00 → rate: 0.00000992, annualized: 8.6859%, premium: -0.0004206766
2024-08-10T11:00:00.051000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002571024
2024-08-10T12:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001390446
2024-08-10T13:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002649201
2024-08-10T14:00:00.044000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002796073
2024-08-10T15:00:00.043000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002783616
2024-08-10T16:00:00.060000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002041791
2024-08-10T17:00:00.115000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002194152
2024-08-10T18:00:00.155000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001241592
2024-08-10T19:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001877168
2024-08-10T20:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002947812
2024-08-10T21:00:00.138000+00:00 → rate: 0.00000887, annualized: 7.7714%, premium: -0.0004290283
2024-08-10T22:00:00.056000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001857851
2024-08-10T23:00:00.124000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002371214
2024-08-11T00:00:00.011000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0002988075
2024-08-11T01:00:00.013000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000677295
2024-08-11T02:00:00.009000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0000672221
2024-08-11T03:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001436644
2024-08-11T04:00:00.143000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000029677
2024-08-11T05:00:00.017000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0001001514
2024-08-11T06:00:00.084000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000391723
2024-08-11T07:00:00.112000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000736516
2024-08-11T08:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001031382
2024-08-11T09:00:00.055000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000236861
2024-08-11T10:00:00.109000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000578143
2024-08-11T11:00:00.021000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001613088
2024-08-11T12:00:00.075000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002040366
2024-08-11T13:00:00.155000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000577247
2024-08-11T14:00:00.068000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001146323
2024-08-11T15:00:00.049000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0002912826
2024-08-11T16:00:00.001000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001377126
2024-08-11T17:00:00.011000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003121132
2024-08-11T18:00:00.200000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0000791552
2024-08-11T19:00:00.142000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.000019831
2024-08-11T20:00:00.061000+00:00 → rate: 0.00000768, annualized: 6.7258%, premium: -0.0004385774
2024-08-11T21:00:00.034000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: -0.0003549749
2024-08-11T22:00:00.091000+00:00 → rate: 0.00001250, annualized: 10.9500%, premium: 0.0001270915
